DATE,TIME,AP1,AP2,AP3,AP4,AP5,AV1,AV2,AV3,AV4,AV5,BP1,BP2,BP3,BP4,BP5,BV1,BV2,BV3,BV4,BV5
20181213,092501,10.76,10.77,10.78,10.79,10.8,11700,1000,13200,30600,32800,10.75,10.74,10.73,10.72,10.71,31000,14000,22600,2000,51100
20181213,092501,10.76,10.77,10.78,10.79,10.8,11700,1000,13200,30600,32800,10.75,10.74,10.73,10.72,10.71,31000,14000,22600,2000,51100
20181213,092501,10.76,10.77,10.78,10.79,10.8,11700,1000,13200,30600,32800,10.75,10.74,10.73,10.72,10.71,31000,14000,22600,2000,51100
20181213,092501,10.76,10.77,10.78,10.79,10.8,11700,1000,13200,30600,32800,10.75,10.74,10.73,10.72,10.71,31000,14000,22600,2000,51100
20181213,093002,10.77,10.78,10.79,10.8,10.81,32500,13700,33100,36800,1300,10.76,10.75,10.74,10.73,10.72,9860,35000,13100,22600,19000
20181213,093005,10.78,10.79,10.8,10.81,10.82,11000,33100,25300,3800,21600,10.77,10.76,10.75,10.74,10.73,4900,5800,59900,8100,22600
20181213,093008,10.79,10.8,10.81,10.82,10.83,33100,25300,3800,21600,74600,10.78,10.77,10.76,10.75,10.74,37900,5500,6000,46800,8100
20181213,093011,10.79,10.8,10.81,10.82,10.83,33100,25300,3800,21600,74600,10.78,10.77,10.76,10.75,10.74,40400,6700,4400,46800,8100
20181213,093014,10.79,10.8,10.81,10.82,10.83,38900,25300,3800,21600,74600,10.78,10.77,10.76,10.75,10.74,41200,4900,4400,46800,8100
20181213,093017,10.79,10.8,10.81,10.82,10.83,36800,25300,3800,21600,74600,10.78,10.77,10.76,10.75,10.74,40700,4900,4300,46800,8100
20181213,093020,10.79,10.8,10.81,10.82,10.83,51900,25300,3800,21600,74600,10.78,10.77,10.76,10.75,10.74,9200,4900,4300,46200,8100
20181213,093023,10.79,10.8,10.81,10.82,10.83,400,25300,3800,21600,74600,10.78,10.77,10.76,10.75,10.74,9000,4900,4300,46000,8100
20181213,093026,10.79,10.8,10.81,10.82,10.83,10400,25300,3800,22600,74600,10.78,10.77,10.76,10.75,10.74,53700,4900,4300,45900,8100
20181213,093029,10.79,10.8,10.81,10.82,10.83,10600,25300,13800,22600,74600,10.78,10.77,10.76,10.75,10.74,53700,4900,4300,45900,8100
